id,name,schedule,accept_temporary,published_at,city,salary_mean,skills,experience,professional roles,employer,employer trusted,url
73228059,Ведущий инженер,fullDay,False,2022-12-02T10:46:45+0300,Казань,110000.0,"['Cisco', 'MPLS', 'BGP', 'Huawei', 'Juniper', 'OSPF', 'CCNP', 'Эксплуатационные документы', 'Деловая коммуникация', 'Проектная документация', 'Сетевые технологии']",От 3 до 6 лет,Сетевой инженер,ТАТТЕЛЕКОМ,True,https://hh.ru/vacancy/73228059
73312640,Инженер электросвязи,fullDay,False,2022-12-05T09:46:05+0300,Альметьевск,35000.0,"['Многозадачность', 'Телекоммуникации', 'Аварийно-восстановительные работы']",Нет опыта,"Сервисный инженер, инженер-механик",ТАТТЕЛЕКОМ,True,https://hh.ru/vacancy/73312640
68884729,Менеджер продукта для B2B сегмента,fullDay,False,2022-12-30T13:11:39+0300,Екатеринбург,175000.0,[],От 3 до 6 лет,Менеджер продукта,SpectrumData,True,https://hh.ru/vacancy/68884729
54613980,Заместитель руководителя отдела аналитики,fullDay,False,2022-12-30T10:20:03+0300,Тюмень,100000.0,"['Обучение и развитие', 'Развитие продаж', 'Руководство коллективом', 'SQL', 'Python', 'MS Excel', 'Big Data', 'Google tables', 'Бизнес-анализ', 'Анализ данных', 'Моделирование бизнес процессов', 'Аналитические исследования']",От 3 до 6 лет,Аналитик,"Этажи, федеральная компания",True,https://hh.ru/vacancy/54613980
73038027,Главный экономист по сопровождению партнерских продаж,fullDay,False,2022-12-30T11:29:37+0300,Новосибирск,45000.0,"['Сопровождение клиентов', 'Корпоративная этика', 'Уверенный пользователь ПК', 'Добровольное медицинское страхование', 'Работа с документами длительного хранения']",От 1 года до 3 лет,Другое,МТС Банк,True,https://hh.ru/vacancy/73038027
72415667,Ведущий клиентский менеджер РКО,fullDay,False,2022-12-30T13:22:33+0300,Санкт-Петербург,80000.0,"['Холодные продажи', 'Активные продажи', 'Прямые продажи', 'Холодные звонки', 'Навыки продаж']",От 1 года до 3 лет,Другое,МТС Банк,True,https://hh.ru/vacancy/72415667
74268811,Клиентский менеджер РКО,fullDay,False,2022-12-30T14:39:01+0300,Нижний Новгород,75000.0,"['Холодные продажи', 'Активные продажи', 'Прямые продажи', 'Холодные звонки', 'Навыки продаж']",От 1 года до 3 лет,Другое,МТС Банк,True,https://hh.ru/vacancy/74268811
48415584,"Sales manager (IT, Big Data, B2B)",fullDay,False,2022-12-29T16:08:06+0300,Санкт-Петербург,80000.0,"['B2B Продажи', 'Проведение презентаций', 'Активные продажи', 'Холодные продажи', 'Публичные выступления']",От 3 до 6 лет,"Менеджер по продажам, менеджер по работе с клиентами",Городской центр экспертиз,True,https://hh.ru/vacancy/48415584
74106147,Клиентский менеджер РКО,fullDay,False,2022-12-30T11:29:37+0300,Омск,80000.0,"['Холодные продажи', 'Активные продажи', 'Прямые продажи', 'Холодные звонки', 'Навыки продаж']",От 1 года до 3 лет,Другое,МТС Банк,True,https://hh.ru/vacancy/74106147
74132824,Клиентский менеджер РКО,fullDay,False,2022-12-30T11:29:37+0300,Пермь,70000.0,"['Холодные продажи', 'Активные продажи', 'Прямые продажи', 'Холодные звонки', 'Навыки продаж']",От 1 года до 3 лет,Другое,МТС Банк,True,https://hh.ru/vacancy/74132824
74419895,Специалист образовательных программ ЦЛП «Особое Детство»,fullDay,False,2022-12-30T22:45:17+0300,Москва,60000.0,"['Деловая коммуникация', 'Организация учебного процесса', 'Грамотная речь', 'Проведение семинаров', 'Организация мероприятий', 'Проведение презентаций', 'Подготовка презентаций', 'Английский язык', 'Навыки презентации', 'Обучение и развитие', 'Грамотность', 'Обучение', 'Дистанционное обучение', 'Организаторские навыки', 'Ведение групп в социальных сетях', 'IBM SPSS', 'Big Data', 'Работа с большим объемом информации', 'Деловое общение']",От 1 года до 3 лет,Другое,РБОО Центр лечебной педагогики,True,https://hh.ru/vacancy/74419895
74346743,"Менеджер по работе с корпоративными клиентами / развитию бизнеса b2b, удаленно",remote,False,2022-12-28T14:08:32+0300,Москва,165000.0,[],Нет опыта,"Менеджер по продажам, менеджер по работе с клиентами",JCat.ru,True,https://hh.ru/vacancy/74346743
73040187,Head of Treasury,fullDay,False,2022-12-28T12:08:59+0300,Москва,385000.0,"['Английский язык', 'MS PowerPoint', 'Treasury Management', 'Financial Documentation', 'MS Excel', 'Big Data', 'Foreign banks', 'Cash Conversion Cycle', 'Financial Risks']",Более 6 лет,Казначей,Finstar Financial Group,True,https://hh.ru/vacancy/73040187
74341579,Менеджер по работе с крупными корпоративными клиентами B2B (KAM),fullDay,False,2022-12-28T12:24:20+0300,Красноярск,70000.0,"['Деловое общение', 'Развитие продаж', 'Ведение переговоров', 'Заключение договоров']",От 1 года до 3 лет,"Менеджер по продажам, менеджер по работе с клиентами",МТС,True,https://hh.ru/vacancy/74341579
73857378,Главный бухгалтер в Китае (Шанхай) с опытом в области китайской налоговой бухгалтерии,fullDay,False,2023-01-02T13:09:21+0300,Астана,199000.0,"['Русский язык', 'Английский язык', 'Китайский язык', 'Excel', 'MS PowerPoint']",От 3 до 6 лет,Бухгалтер,UGL Corporation Limited,True,https://hh.ru/vacancy/73857378
74337426,Клиентский менеджер РКО,fullDay,False,2022-12-28T10:49:45+0300,Воронеж,85000.0,"['Холодные продажи', 'Активные продажи', 'Прямые продажи', 'Холодные звонки', 'Навыки продаж']",От 1 года до 3 лет,Другое,МТС Банк,True,https://hh.ru/vacancy/74337426
73527245,Dev Lead Backend (PHP),remote,True,2022-12-27T15:13:26+0300,Москва,425000.0,"['Управление проектами', 'MySQL', 'SQL', 'PHP', 'Vue.js', 'Управление командой', 'Базы данных', 'Лидерство', 'Big Data', 'dwh']",От 3 до 6 лет,Руководитель группы разработки,EGGНEADS,True,https://hh.ru/vacancy/73527245
73346936,Team Lead Backend (PHP),remote,False,2022-12-27T15:13:26+0300,Москва,300000.0,"['Leadership Skills', 'f2f', 'Управление командой', 'Лидерство', 'Базы данных', 'MySQL', 'PHP', 'SQL', 'ClickHouse', 'Анализ данных', 'Big Data', 'Data Warehouse', 'dwh']",От 3 до 6 лет,Руководитель группы разработки,EGGНEADS,True,https://hh.ru/vacancy/73346936
